OID,FID,State,Beaver_Dam,Pixel_count,Area_m,Area_km,Area_Proportion,RdNBR_mean,RdNBR_SD,Open_water
1,0,A,1,146,58128.85965,0.05812886,1.201780785,97.6340453,127.4724626,
2,1,E,0,4,1620.32814,0.001620328,0.033499354,639.5102081,50.28146128,
3,2,B,1,36,15036.93111,0.015036931,0.310879914,69.19671909,124.1566076,
4,3,E,0,1,670.6171778,0.000670617,0.013864625,423.8380127,0,
5,4,D,0,193,77555.25601,0.077555256,1.603410372,150.3253559,148.3346804,
6,5,E,0,2,777.0877005,0.000777088,0.016065842,692.5883789,25.05743408,
7,6,E,0,2,1081.904657,0.001081905,0.022367757,807.4553833,18.25415039,
8,7,E,0,3,1179.576912,0.001179577,0.024387075,668.6106364,96.53393783,
9,8,E,0,8,3733.098875,0.003733099,0.077179675,679.6816864,86.95041277,
10,9,E,0,2,393.9418634,0.000393942,0.008144522,811.1910095,12.14657593,
11,10,E,0,14,5636.545941,0.005636546,0.11653235,236.94154,131.0034758,
12,11,E,0,12,4804.268821,0.004804269,0.099325498,365.8305664,138.9858082,
13,12,E,0,2,896.6958534,0.000896696,0.018538672,514.103302,20.85848999,
14,13,E,0,1,395.5131558,0.000395513,0.008177007,542.4172363,0,
15,14,E,0,5,2030.052158,0.002030052,0.041970162,513.9115967,70.06451274,
16,15,E,0,38,13679.50925,0.013679509,0.282815996,356.5675094,263.7357595,
17,16,E,0,3,1023.578125,0.001023578,0.02116189,561.581248,156.4998883,
18,17,E,0,2,523.0497705,0.00052305,0.010813754,321.3838806,43.85528564,
19,18,E,0,1,755.695634,0.000755696,0.015623573,476.7340393,0,
20,19,E,0,4,1637.99746,0.001637997,0.033864657,437.3189545,131.337986,
21,20,E,0,10,5164.618125,0.005164618,0.106775513,453.2091812,140.8561689,
22,21,E,0,7,2316.780161,0.00231678,0.047898099,628.6135995,99.68468195,
23,22,E,0,11,4050.265922,0.004050266,0.083736922,412.4409013,150.400954,
24,23,E,0,1,757.2787379,0.000757279,0.015656303,529.4376831,0,
25,24,C,1,201,86860.98367,0.086860984,1.795800946,230.593996,202.1603389,
26,25,E,0,88,35714.56097,0.035714561,0.738378034,408.947389,307.881747,
27,26,E,0,69,26926.22103,0.026926221,0.556684154,437.9109022,352.2484461,
28,27,E,0,6,2298.658628,0.002298659,0.047523447,812.7533468,94.41454023,
29,28,D,0,6,3199.853425,0.003199853,0.066155132,450.2781626,137.1207884,
30,29,B,1,86,35766.51047,0.03576651,0.73945206,222.5036519,158.4157088,
31,30,E,0,5,2768.119141,0.002768119,0.057229273,547.7091614,161.608383,
32,31,D,1,23,9645.632551,0.009645633,0.199417913,570.7469111,224.525961,
33,32,E,0,396,170399.2604,0.17039926,3.522906834,215.8671702,251.7317661,
34,33,E,0,8,3207.106731,0.003207107,0.06630509,379.0951004,99.03911101,
35,34,E,0,6,2917.861264,0.002917861,0.060325106,515.9446818,52.00906751,
36,35,E,0,2,797.3919116,0.000797392,0.01648562,711.7084351,30.86309814,
37,36,E,0,1,545.8086771,0.000545809,0.011284281,691.9366455,0,
38,37,E,0,3,956.8974038,0.000956897,0.019783304,724.74941,24.55288558,
39,38,D,1,248,99471.85895,0.099471859,2.056523549,432.8421029,199.4044673,
40,39,E,0,4,1598.397811,0.001598398,0.033045957,239.8081112,126.6408267,
41,40,C,1,208,84475.27562,0.084475276,1.746477802,102.5498463,111.9048384,
42,41,A,1,2,850.4482564,0.000850448,0.017582529,331.521286,7.297073364,
43,42,C,1,87,41873.07785,0.041873078,0.865701833,473.4675961,202.8272576,
44,43,C,1,59,23222.96436,0.023222964,0.480121449,555.4622508,211.465995,
45,44,D,1,166,64819.537,0.064819537,1.340106696,393.4517094,339.3793564,
46,45,E,0,92,38232.86746,0.038232867,0.790442574,397.1152095,121.1529753,
47,46,E,0,4,1082.284935,0.001082285,0.022375619,597.7669067,30.14982416,
48,47,E,0,1,347.3850652,0.000347385,0.007181987,617.2763062,0,
49,48,E,0,29,12050.97046,0.01205097,0.249146892,696.9290508,418.4280423,
50,49,D,1,360,145080.5324,0.145080532,2.999456676,512.0613846,354.4926957,
51,50,D,1,8,2921.077845,0.002921078,0.060391607,450.4131374,168.0744816,
52,51,C,1,688,274752.7293,0.274752729,5.680354865,219.2345364,246.4127608,
53,52,B,1,355,139358.8299,0.13935883,2.881163762,301.0224567,245.379488,
54,53,E,0,9,3309.16513,0.003309165,0.068415088,770.5594211,248.4076485,
55,54,E,0,6,2314.395427,0.002314395,0.047848796,740.0849101,114.6387113,
56,55,E,0,39,15316.10382,0.015316104,0.316651649,855.6223771,196.8596381,
57,56,E,0,7,2273.70308,0.002273703,0.047007505,857.9498901,86.37330335,
58,57,B,0,1,308.5496082,0.00030855,0.006379086,913.5405884,0,
59,58,E,0,11,4385.637062,0.004385637,0.090670527,883.3383734,92.57384171,
60,59,E,0,4,1694.78186,0.001694782,0.035038642,1118.841965,150.0466381,
61,60,E,0,229,90478.57806,0.090478578,1.870592632,621.0567556,195.5581912,
62,61,B,1,18,7690.922525,0.007690923,0.159005406,225.4702057,149.1145764,
63,62,C,1,129,51282.32464,0.051282325,1.060232606,191.4196871,193.114743,
64,63,E,0,1,170.0426859,0.000170043,0.003515535,704.2409058,0,
65,64,E,0,6,2231.852067,0.002231852,0.04614226,1067.415161,52.83468149,
66,65,E,0,1,542.6570235,0.000542657,0.011219122,556.7952271,0,
67,66,A,1,1,322.3963119,0.000322396,0.006665359,272.8289185,0,
68,67,B,1,140,55033.5456,0.055033546,1.137786945,176.2396336,169.6921472,
69,68,E,0,47,19528.09268,0.019528093,0.403732099,817.3390555,206.799457,
70,69,E,0,5,1718.808272,0.001718808,0.035535374,1264.655103,58.14531416,
71,70,E,0,40,15929.72951,0.01592973,0.329338008,918.1609146,228.1006588,
72,71,C,1,1653,682987.6361,0.682987636,14.12037708,325.961697,291.5256339,
73,72,E,0,28,11337.83773,0.011337838,0.234403283,872.4426978,211.334058,
74,73,E,0,16,6340.516556,0.006340517,0.131086538,849.9352455,187.3719963,
75,74,E,0,2,805.819406,0.000805819,0.016659853,1137.764648,35.21826172,
76,75,E,0,3,2113.523004,0.002113523,0.043695874,1207.30603,42.26065747,
77,76,E,0,9,3833.853432,0.003833853,0.079262718,1146.285672,36.67612238,
78,77,E,0,4,1620.130595,0.001620131,0.033495269,1177.637115,53.68307862,
79,78,E,0,8,3126.253907,0.003126254,0.064633504,1031.028053,49.23670142,
80,79,E,0,2,797.4363865,0.000797436,0.016486539,1018.238831,48.67230225,
81,80,E,0,5,2622.158143,0.002622158,0.054211613,1136.604077,46.86369604,
82,81,E,0,19,6693.315975,0.006693316,0.138380463,1100.273865,40.03884597,
83,82,D,1,42,17912.60792,0.017912608,0.37033288,700.8617169,181.26165,
84,83,E,0,2,633.1448063,0.000633145,0.013089905,1145.934814,11.73010254,
85,84,E,0,4,910.0220555,0.000910022,0.018814183,1254.116364,49.15298932,
86,85,E,0,20,7983.991507,0.007983992,0.165064439,1210.045972,93.05428576,
87,86,E,0,1,545.1983595,0.000545198,0.011271663,506.0820618,0,
88,87,E,0,3,658.6806842,0.000658681,0.013617845,1066.468119,166.3652821,
89,88,E,0,2,1039.44705,0.001039447,0.021489971,1260.460632,44.69793701,
90,89,E,0,11,4187.382561,0.004187383,0.086571729,972.8839666,52.1540874,
91,90,E,0,2,909.4633182,0.000909463,0.018802632,1053.308472,5.209594727,
92,91,E,0,2,486.3622226,0.000486362,0.01005526,1084.108276,65.15856934,
93,92,E,0,13,3507.376702,0.003507377,0.072512999,1142.485417,49.86645189,
94,93,E,0,1,669.7036376,0.000669704,0.013845738,1107.914429,0,
95,94,E,0,1,927.4391198,0.000927439,0.019174271,1147.314453,0,
96,95,E,0,12,4652.903768,0.004652904,0.096196113,889.4247742,160.3344465,
97,96,E,0,7,2337.578592,0.002337579,0.048328095,614.0830296,104.4098201,
98,97,E,0,5,2303.930079,0.00230393,0.047632431,1178.03418,52.6117274,
99,98,B,1,36,14008.50179,0.014008502,0.289617728,288.1513469,186.8933798,
100,99,B,1,18,7041.822131,0.007041822,0.145585628,244.3016862,204.2904732,
101,100,E,0,30,12156.97868,0.012156979,0.251338552,96.07336159,122.5873698,
102,101,E,0,1,683.9070524,0.000683907,0.014139385,996.2525635,0,
103,102,E,0,22,8315.019491,0.008315019,0.171908252,115.5975474,127.5060219,
104,103,D,0,157,71627.83135,0.071627831,1.480864271,280.5004567,167.1949736,
105,104,E,0,2,1118.543415,0.001118543,0.023125243,714.70401,7.671234131,
106,105,E,0,55,22059.75976,0.02205976,0.456072862,856.3724116,150.9638516,
107,106,D,1,1151,464385.6601,0.46438566,9.600906786,556.0730163,351.6572144,
108,107,E,0,11,4526.716922,0.004526717,0.093587272,541.6358032,107.3175228,
109,108,E,0,7,2314.642499,0.002314642,0.047853904,873.2596261,61.58093252,
110,109,E,0,3,962.8111586,0.000962811,0.019905568,880.8273722,51.63374122,
111,110,E,0,39,15577.39906,0.015577399,0.322053778,376.698241,196.5452168,
112,111,E,0,9,3934.87394,0.003934874,0.081351259,818.3181763,101.0592081,
113,112,E,0,8,3662.285551,0.003662286,0.07571565,919.0706482,70.36302125,
114,113,E,0,29,11137.27005,0.01113727,0.230256661,920.4923727,105.8669581,
115,114,E,0,3,1162.92761,0.001162928,0.02404286,973.9940389,23.15026966,
116,115,E,0,5,1926.056252,0.001926056,0.039820107,745.3157227,96.4515103,
117,116,E,0,3,907.5805936,0.000907581,0.018763707,689.2774048,112.9221442,
118,117,E,0,7,2429.921243,0.002429921,0.050237226,897.5237252,48.72538156,
119,118,E,0,4,1716.0942,0.001716094,0.035479262,875.567337,79.43987238,
120,119,E,0,3,1410.463403,0.001410463,0.029160521,1092.286214,20.90227807,
121,120,E,0,2,509.6143724,0.000509614,0.010535984,1060.038544,53.88088989,
122,121,E,0,1,316.5804211,0.00031658,0.006545118,1018.101074,0,
123,122,E,0,15,6384.710162,0.00638471,0.132000215,871.3374919,175.3399019,
124,123,E,0,1,679.3528148,0.000679353,0.014045229,1237.42749,0,
125,124,B,1,3,1406.19612,0.001406196,0.029072297,505.9428202,145.3530306,
126,125,D,1,148,58149.71005,0.05814971,1.202211855,615.7626218,273.4558821,
127,126,D,1,722,293107.4176,0.293107418,6.059827504,484.5282516,352.2048045,
128,127,D,1,706,283282.3443,0.283282344,5.856699757,429.5952837,241.9918247,
129,128,B,1,707,278196.4176,0.278196418,5.751551143,384.4752748,331.6458338,
130,129,B,1,247,95063.81053,0.095063811,1.96538968,629.3547095,277.3845975,
131,130,D,1,169,68698.83871,0.068698839,1.420309031,688.2743588,274.6188089,
132,131,A,1,1,551.0974997,0.000551097,0.011393624,938.4351807,0,
133,132,C,1,652,255900.2357,0.255900236,5.290590389,407.2668958,304.7833932,
134,133,D,1,495,202679.7979,0.202679798,4.190288406,298.1715763,252.040799,
135,134,E,0,34,13819.80846,0.013819808,0.285716602,798.8195711,161.4287051,
136,135,D,0,117,47813.16319,0.047813163,0.988509686,274.4160936,203.6112841,
137,136,B,1,3,2033.501752,0.002033502,0.042041481,49.55714703,25.68635133,
138,137,E,0,1,566.1234245,0.000566123,0.011704277,1119.858154,0,
139,138,D,1,13,6311.890179,0.00631189,0.130494704,841.8973342,127.4196169,
140,139,B,1,3,1216.344428,0.001216344,0.025147222,538.5526021,64.13158029,
141,140,A,1,4,1575.157001,0.001575157,0.032565466,607.2735367,79.05534913,
142,141,A,1,2,940.2847287,0.000940285,0.019439847,512.5502777,123.0315094,
143,142,A,1,5,1815.70197,0.001815702,0.037538595,591.7809692,107.037616,
144,143,B,1,1,341.0286108,0.000341029,0.007050571,743.2907715,0,